النموذج	م	الجانب	الهدف	المعيار	اقل قيمة	اعلى قيمة	اسم المعيار في النموذج	درجة المعيار	الترتيب	حالة العرض	المستوى
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2575	الخدمي	قياس مدى توفر متطلبات خدمة الجمهور النموذجية	لدي معرفة كاملة بالخدمات التي تقدم وما يتعلق بذلك	0	0	المقترحات والحلول التي ترونها مناسبة	NULL	13	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2573	الخدمي	قياس مدى الانضباط والانجاز بخدمة الجمهور	عدد الشكاوى المقدمة من المستفيدين تجاه الموظفين خلال فترة شهر	0	0	كم عدد الموظفين بالمكتب	NULL	10	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2574	الخدمي	ملاحظات ومقترحات وحلول نموذج التقييم	مقترحات وحلول	0	0	المشاكل والمعوقات التي يواجهها المكتب	NULL	12	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2564	الاداري	قياس مستوى الأداء الاداري	هل يقوم المكتب بالوظائف التي أنشئ من أجلها	0	0	يوجد تعاون السلطة المحلية مع مكتب الخدمة المدنية	NULL	1	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2565	الاداري	قياس مستوى الأداء الاداري	هل عدد الموظفين بالمكتب مناسب	0	0	يوجد تعاون وزارة الخدمة المدنية مع مكاتبها	NULL	2	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2566	الاداري	قياس مستوى الأداء الاداري	هل النفقات التشغيلية للمكتب كافية	0	0	هل يقوم المكتب بالوظائف التي أنشئ من أجلها	NULL	3	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2567	الاداري	قياس مستوى الأداء الاداري	هل مبنى الفرع ملك لوزارة الخدمة المدنية	0	0	هل عدد الموظفين بالمكتب مناسب	NULL	4	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2568	الاداري	قياس مستوى الأداء الاداري	هل تصرف حوافز لموظفين المكتب	0	0	هل النفقات التشغيلية للمكتب كافية	NULL	5	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2569	الاداري	قياس مستوى الأداء الاداري	كم عدد الخدمات التي يقدمها المكتب	0	0	هل مبنى الفرع ملك لوزارة الخدمة المدنية	NULL	6	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2570	الاداري	قياس مستوى الأداء الاداري	كم عدد الخدمات الموقوفة مع ذكر السبب	0	0	هل تصرف حوافز لموظفين المكتب	NULL	7	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2571	الاداري	قياس مستوى الأداء الاداري	عدد الموظفين	0	0	كم عدد الخدمات التي يقدمها المكتب	NULL	8	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2572	الاداري	قياس مستوى الأداء الاداري	كم مبلغ الحافز الذي يصرف لموظفين المكتب	0	0	كم عدد الخدمات الموقوفة مع ذكر السبب	NULL	9	1	NULL
 نموذج تقييم مكاتب الخدمة المدنية في المحافظات	2576	التنظيمي	حول الإدارة المختصة بتقنية المعلومات في الوحدة	يوجد إدارة مختصة بتقنية المعلومات	0	0	كم مبلغ الحافز الذي يصرف لموظفين المكتب	NULL	11	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2645	الاداري	قياس مستوى الأداء الاداري	يوجد تعاون السلطة المحلية مع مكتب الخدمة المدنية	0	0	درجة رضاك عن جودة الخدمة التي تلقيتها	NULL	12	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2632	الخدمي	ملاحظات ومقترحات وحلول نموذج التقييم	معوقات	0	0	الملاحظة او المقترح بشكل واضح	NULL	13	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2636	الخدمي	قياس مستوى أداء خدمة الجمهور من قبل المستفيد	يتقيد الموظفون بالمواعيد المحددة لانجاز المعاملات بدرجة	0	0	عدد موظفي الجهة المعنيين بتقديم الخدمة كاف بدرجة	NULL	3	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2641	الخدمي	قياس مستوى أداء خدمة الجمهور من قبل المستفيد	في حالة التواصل مع الجهة يتم الرد والتعاون بدرجة	0	0	اماكن الانتظار للجمهور اثناء الحصول على الخدمة مناسبة بدرجة	NULL	8	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2642	الخدمي	قياس مستوى أداء خدمة الجمهور من قبل المستفيد	في حالة وجود مشكلة تجد تعاون من الجهة بدرجة	0	0	في حالة التواصل مع الجهة يتم الرد والتعاون بدرجة	NULL	9	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2643	الخدمي	قياس مستوى أداء خدمة الجمهور من قبل المستفيد	يحصل متلقي الخدمة على النتيجة الايجابية التي كان يتوقعها من الخدمة بدرجة	0	0	في حالة وجود مشكلة تجد تعاون من الجهة بدرجة	NULL	10	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2638	الخدمي	قياس مستوى أداء خدمة الجمهور من قبل المستفيد	يتم التعامل مع ذوي الاحتياجات الخاصة بشكل مناسب بدرجة	0	0	يتعامل الموظفون مع المراجعين بمساواة ودون تمييز بدرجة	NULL	5	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2639	الخدمي	قياس مدى توفر متطلبات خدمة الجمهور النموذجية	التعليمات والارشادات للحصول على الخدمات متوفرة وواضحة بدرجة	0	0	يتم التعامل مع ذوي الاحتياجات الخاصة بشكل مناسب بدرجة	NULL	6	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2640	الخدمي	قياس مدى توفر متطلبات خدمة الجمهور النموذجية	اماكن الانتظار للجمهور اثناء الحصول على الخدمة مناسبة بدرجة	0	0	التعليمات والارشادات للحصول على الخدمات متوفرة وواضحة بدرجة	NULL	7	1	NULL
 نموذج تقييم مكاتب خدمة الجمهور (المستفيد من الخدمة) 	2634	الخدمي	قياس مدى توفر متطلبات خدمة الجمهور النموذجية	درجة معرفة والمام الموظفين باجراءات وتعليمات تقديم الخدمة	0	0	الوقت اللازم للحصول على الخدمة مناسب بدرجة	NULL	1	1	NULL
